Titulo,Autor,Ano
Avalon,Al Jolson / Buddy DeSylva / Vincent Rose,1920
Baby What You Want Me To Do,Jimmy Reed,1959
"Baby, won`t you please come home",Charles Warfield / Clarence Williams,1919
Badinerie,Johann Sebastian Bach,
Barbados,Charlie Parker,1948
Basin Street Blues,Spencer Williams,1928
Beale Street Blues,W.C. Handy,1917
Beautiful Love,Wayne King / Victor Young / Egbert Van Alstyne / Haven Gillespie,1931
Bebop,Dizzy Gillespie / Stan Getz / Sonny Stitt,1958
Bei Mir Bist Du Shoen,Sholom Secunda / Sammy Cahn / Saul Chaplin,1932
Bernie’s Tune,Bernie Miller / Jerry Leiber / Mike Stoller,1952
Bésame Mucho,Consuelo Velázquez,1940
Between The Devil And The Deep Blue Sea,Harold Arlen / Ted Koehler,1931
Bewitched,Richard Rodgers / Lorenz Hart,1941
Beyond the Sea,Charles Trenet / Jack Lawrence / Albert Lasry,1946
Bidin’ My Time,George Gershwin / Ira Gershwin,1930
Bill Bailey,Hughie Cannon,1902
Billie`s bounce,Charlie Parker,1945
Bird Alone,Abbey Lincoln,1960
"Birth of the Blues, The",Ray Henderson / Buddy DeSylva / Lew Brown,1926
Bittersweet,Sam Jones,1975
Black and Blue,Fats Waller / Harry Brooks / Andy Razaf,1929
Black Orpheus,Luiz Bonfá / Carl Sigman,1959
Blame It on My Youth,Oscar Levant / Edward Heyman,1934
Bloomdido,Charlie Parker,1950
Blue and Sentimental,Count Basie / Jerry Livingston / Mack David,1938
Blue Bossa,Kenny Dorham,1963
Blue Drug,J.Myrow,1932
Blue Monk,Thelonious Monk,1954
Blue Moon,Richard Rodgers / Lorenz Hart,1934
Blue Room,Richard Rodgers / Lorenz Hart,1926
Blue Skies,Iving Berlin,1926
Blueberry Hill,Vincent Rose / John L. Rooney,1940
Blues For Dixie,,
Blues March,Benny Golson,1958
Blues My Naughty Sweetie Gives To Me,Charles McCarron / Carey Morgan / Arthur Swanstone,1919
Bluesette,Toots Thielemans / Norman Gimbel,1961
Bluff,Lelio Luttazzi,1976
