Year,Position,Country,Genre,nameSong
1978,42,United Kingdom,Unknown,AutomaticLover-DeeD.Jackson
1978,84,Brazil,pop rock,Pai-FábioJr.
1979,2,Brazil,pop rock,Pai-FábioJr.
1978,88,Bonn,pop,LoveForSale-BoneyM.
1978,89,United States,soul,Onlythestrongsurvive-BillyPaul
1978,96,Brazil,pop rock,AChavedoMundo-MarinaLima
1978,97,Brazil,rock,AgoraéModa-RitaLee&TuttiFrutti
1979,36,United Kingdom,rock,DaYaThinkI’mSexy?-RodStewart
1979,71,United States,Unknown,I’dRatherHurtMyself(ThenToHurtYou)-RandyBrown
1979,97,United States,Unknown,I’madancer-DennisParker
1980,15,Brazil,pop rock,20ePoucosAnos-FábioJr.
1980,36,United States,rock,Babe-Styx
1980,46,Brazil,latin ballad,NossoEstranhoAmor-MarinaLimafeat.CaetanoVeloso
1980,66,Brazil,pop rock,QueroColo-FábioJr.
1980,68,United States,soul,ShineOn-L.T.D.
1981,32,United States,soul,ShineOn-L.T.D.
1980,93,Brazil,Unknown,RuaRamalhete-Tavito
1981,37,Brazil,pop rock,EuMeRendo-FábioJr.
1981,56,Brazil,jazz rock,ParaSeroSol-ACordoSom
1981,64,United Kingdom,rock,YouWeren’tInLove-MickFleetwood
1981,66,Ireland,irish,What’sInAKiss-GilbertO’Sullivan
1981,68,Brazil,mpb,BemSimples-RoupaNovaft.EdMotta
1981,70,United States,pop,"AWomanNeedsLove(JustLikeYouDo)-RayParkerJr.,Raydio"
1981,100,Brazil,mpb,"Meubem,meumau-GalCosta"
1982,10,Brazil,mpb,"Oqueé,Oqueé?-Gonzaguinha"
1982,21,Brazil,Unknown,portelanaavenida-ClaraNunes
1982,34,United States,blue-eyed soul,Centerfold-J.GeilsBand
1982,44,Brazil,pop rock,OQueéQueHá-FábioJr.
1982,94,United States,pop rock,Yesterday’sSongs-NeilDiamond
1983,32,Brazil,mpb,ProDiaNascerFeliz-NeyMatogrosso
1983,59,Brazil,mpb,Sensual-RoupaNovaft.ToniGarrido
1983,74,Brazil,pop,AsaMorena-ZiziPossi
1984,14,Brazil,fixme,Caminhoneiro-RobertoCarlos
1984,15,United States,classic pop and rock,EbonyEyes-RickJamesft.SmokeyRobinson
1984,20,Germany,Unknown,Recado(Meunamorado)-Joana
1984,36,United Kingdom,rock,IGuessThat’sWhyTheyCallItTheBlues-EltonJohn
1984,50,United States,new jack swing,IsThisTheEnd?-NewEdition
1984,53,Switzerland,american,What’sLoveGotToDoWithIt-TinaTurner
1984,64,United States,soul,IAmWhatIAm.-GloriaGaynor
1985,52,United States,show tunes,"MakeNoMistake,He’sMine-BarbraStreisand&KimCarnes"
1985,61,Brazil,Unknown,Serãoextra-Dr.Silvana&Cia
1985,69,United States,country,"WhatAboutMe?-KennyRogers,KimCarnes&JamesIngram"
1985,86,Brazil,pop rock,Choro-FábioJr.
1985,94,United States,tex-mex,Sóparaovento-Ritchie
1986,5,Brazil,pop rock,QuandoGiraoMundo-FábioJr.
1986,31,United States,new wave,BrokenWings-Mr.Mister
1986,73,United States,80s,TheFinest-S.O.S.Band
