Year,Position,Country,Genre,nameSong
2013,91,United States,hip hop,ThriftShop-MacklemoreeRyanLewsiftWanz
2013,95,Brazil,singer-songwriter,NãoMeCompares-AlejandroSanzft.IveteSangalo
2014,12,Brazil,pop,Tedarumbeijo-MichelTelófeat.PrinceRoyce
2014,20,Brazil,mpb,VocêMeViraaCabeça-Alcione
2014,30,Brazil,singer-songwriter,MeuMundoeNadaMais-Danielft.GuilhermeArantes
2014,39,Brazil,Unknown,Chamamissodetraição-JoãoNeto&Fredericopart.BrunoeMarrone
2014,45,Brazil,country,OndeNasceoSol-BruninhoeDavi(part.Jorge&Mateus)
2014,48,United Kingdom,house,RatherBe-CleanBanditft.JessGlynne
2014,49,United States,dance,Timber-Pitbullft.Ke$ha
2014,52,United States,pop,TheMonster-Eminemft.Rihanna
2014,59,Paraná,sertanejo,Colo-Jads&Jadsonpart.Victor&Leo
2014,67,United States,pop,Can’tRemembertoForgetYou-Shakiraft.Rihanna
2014,75,Brazil,sertanejo,Nuncamais-GeorgeHenriqueeRodrigopt.BrunoeMarrone
2014,83,Brazil,Unknown,Oquesefazaquisepaga-ZéRicardoeThiago
2014,84,Brazil,rap,PaísdoFutebol-MCGuimePart.Emicida
2014,90,United States,rock,TalkDirty-JasonDerulofeat.2Chainz
2014,100,Brazil,forró eletrônico,TóSouSeu-Fred&Gustavopart.WesleySafadão
2015,2,Brazil,rap,Suíte14-Henrique&Diegoft.McGuimê
2015,4,Brazil,sertanejo,10minutoslongedevocê-Victor&Leopart.Henrique&Juliano
2015,7,Brazil,forró eletrônico,Aquele1%-Marcos&Beluttipart.WesleySafadão
2016,80,Brazil,forró eletrônico,Aquele1%-Marcos&Beluttipart.WesleySafadão
2015,25,Brazil,Unknown,PrestoPouco-JoãoNeto&Fredericopart.GregoryeGabriel
2015,56,Brazil,Unknown,NãoQueroMais-Ludmilla(Part.Belo)
2015,74,Scotland,electronic,Blame-CalvinHarrisft.JohnNewman
2015,76,United States,hip hop rnb and dance hall,SeeYouAgain-WizKhalifaft.CharliePuth
2015,84,Unknown,special purpose artist,AnittaFeat.McGuimê-NoMeuTalento
2016,4,Brazil,Unknown,RomânticoAnônimo-Marcos&Beluttipart.FernandoZor
2016,6,Brazil,Unknown,Vaimeperdoando-Victor&Leopart.VictorFreitas&Felipe
2016,8,Brazil,Unknown,50Reais-NaiaraAzevedoFt.MaiaraeMaraisa
2016,19,Paraná,sertanejo,Vício-JoãoNetoeFredericoftJadseJadson
2016,27,Brazil,sertanejo,FlorEOBeija-Flor-HenriqueeJulianopart.MaríliaMendonça
2016,29,Brazil,Unknown,NãoMeToca-ZéFelipeft.Ludmilla
2016,52,Colombia,spanish,SimouNão-Anittapart.Maluma
2016,63,Brazil,teen pop,EssaMinaÉLouca-AnittaPart.Jhama
2016,67,Brazil,singer-songwriter,EAí-MatogrossoeMathias(Part.GusttavoLima)
2016,78,Brazil,forró eletrônico,MeuCoraçãoDeuPt-WesleySafadãoPart.MatheuseKauan
2016,88,Brazil,sertanejo universitário,QueBarqueCêTá?-JoãoBoscoeVinícius
2017,14,Brazil,sertanejo,Amigotaxista-ZéNetoeCristiano
2017,15,Brazil,Unknown,CêAcredita-JoãoNetoeFredericopart.MCKevinho
2017,16,Brazil,sertanejo,Raspão-Henrique&Diegoft.Simone&Simaria
2017,18,Brazil,singer-songwriter,AvisaQueeuCheguei-NaiaraAzevedopart.IveteSangalo
2017,21,Brazil,sertanejo,DeQuemÉACulpa?-MaríliaMendonça
2017,22,Brazil,Unknown,LásefoioBoicomaCorda-BrunoeBarrettofeat.DJKevin
2017,25,Brazil,pop,ModãoDuído-MichelTelópart.MaiaraeMaraisa
2017,26,Brazil,sertanejo,ImpressionandoosAnjos-GustavoMioto
2017,28,Brazil,country,ChaveCópia-FelipeAraújopart.JorgeeMateus
2017,29,Brazil,Unknown,EuVouTeBuscar(Chalalalala)-GusttavoLimaftHungriaHipHop
2017,37,Brazil,sertanejo,NinguémÉdeFerro-WesleySafadãoPart.MaríliaMendonça
2017,38,Brazil,singer-songwriter,Faixa3-Bruninho&Davift.GusttavoLima
2017,40,Brazil,funk ostentação,"VocêPartiuMeuCoração-NegodoBorelft.Anitta,WesleySafadão"
2017,42,Brazil,Unknown,VocêNãoValeNada-ZéFelipepart.MCMenor
2017,54,Brazil,sertanejo,Malbec-Henrique&Diegoft.DennisDj
2017,59,Brazil,Unknown,Praqueisso?-LuizaeMaurilio
2017,64,Brazil,sertanejo,AMalaéFalsa-FelipeAraújopart.Henrique&Juliano
2017,78,Brazil,Unknown,Põeno120-ConradoeAleksandroftDJKevin
2017,85,Brazil,Unknown,Amoresrasos-LuizHenriqueeLeoftHenriqueeDiego
2017,93,Brazil,country,CoisadeDeus-MichelTelóftJorgeeMateus
2017,96,Brazil,Unknown,EEssaBocaAí?-Bruninho&Davift.LuanSantana
2017,98,Brazil,Unknown,EsqueciComoNamora-NegodoBorelft.Maiara&Maraisa
2018,3,Brazil,sertanejo,Transplante-MaríliaMendonçapart.BrunoeMarrone
2018,7,Brazil,Unknown,RaparigaNão-JoãoNetoeFredericopart.SimoneeSimaria
2018,12,Brazil,Unknown,DonaMaria-ThiagoBravaFt.Jorge
2018,15,Brazil,Unknown,NãoFalaNãoPraMim-HumbertoeRonaldofeat.JerrySmith
2018,18,Brazil,country,BomRapaz-FernandoeSorocabaft.JorgeeMateus
2018,27,Brazil,sertanejo,PorTrásdaMaquiagem-MichelTelópart.MaríliaMendonça
2018,32,Unknown,Unknown,Oinego-JeffersonMoraesPart.Maraisa
2018,33,Brazil,Unknown,CancelaoSentimento-MarcoseBeluttifeat.MaríliaMendonça
2018,35,Brazil,sertanejo,CasaMobiliada-IsraeleRodolffoPart.EdsoneHudson
2018,38,Brazil,pop,ReggaeInRoca-ZezeDiCamargoeLucianoPart.OtavioAugustoeGabriel
2018,39,Brazil,Unknown,SigaaSeta-MarcoseBeluttift.MatheuseKauan
2018,50,Brazil,country,Sofazinho-LuanSantanaPart.JorgeeMateus
2018,53,Brazil,sertanejo,AmorDaSuaCama-FelipeAraújo
2018,78,Brazil,Unknown,Saudade-Eduardocosta
2018,81,Brazil,Unknown,MaisUmAnoJuntos-MarcoseBelutti
2018,82,Brazil,teen pop,"VaiMalandra-Anitta,McZaac,Maejorft.TropkillazeDJYuriMartins"
2018,99,Brazil,country,CoisadeDeus-MichelTelópart.JorgeeMateus
2018,100,Brazil,sertanejo,Traição-KleoDibahftMariliaMendonça
2019,16,Brazil,Unknown,ToneladadeSolidão-MarcoseBeluttiPart.Ferrugem
2019,17,Brazil,sertanejo,"Para,PensaeVolta-YasminSantosft.MaríliaMendonça"
2019,19,Brazil,sertanejo,ACulpaédoMeuGrau-Diego&VictorHugoft.ZéNeto&Cristiano
2019,24,Brazil,sertanejo,DoCopoEuVim-Diego&VictorHugoft.MaríliaMendonça
2019,25,Brazil,Unknown,PedaçoMeu-ClebereCauanPart.Jorge
2019,34,Brazil,singer-songwriter,DáPreferênciaPraMim-ThiagoBravapart.GusttavoLima
2019,39,Brazil,Unknown,ZonadeRisco-Fernando&Sorocabaft.Maiara&Maraisa
2019,47,Italy,jazz,FoiNé-DaniloBottrel
2019,50,Brazil,singer-songwriter,TiroCerto-ZéFelipepart.GusttavoLima
2019,55,Brazil,forró eletrônico,Posto24h-LucasLuccopart.WesleySafadão
2019,57,Brazil,Unknown,EuMeAcostumei-PheMichelftBelo
2019,61,Brazil,female,Delicinha-GabrielGavaPart.NaiaraAzevedo
2019,64,Brazil,sertanejo,Doisenganados-MuriloHufffeat.MaríliaMendonça
2019,66,Brazil,Unknown,PoucoaPouco-Dilsinhoft.SorrisoMaroto
2019,74,Brazil,Unknown,MeioSeu-JoãoNetoeFredericoPart.LéoSantana
2019,83,Unknown,Unknown,SaudadeBoa-JonasEsticadopart.FelipeAraújo
2019,84,Brazil,sertanejo universitário,PorAmarDemais-DaniloBottrelft.JoãoBosco&Vinicius
2019,87,Unknown,Unknown,JogodeCama-Lu&Alexpart.LéoMagalhães
2019,93,Brazil,Unknown,DoisDedin-ZéRicardoeThiagopart.LéoeRaphael
2019,94,Brazil,sertanejo,Clichê-Ludmillafeat.FelipeAraújo
2019,95,Brazil,sertanejo,ProntapraTrair-YasminSantos
2020,36,Brazil,sertanejo,Showderecaída-BrunoeMarrone
2020,48,Brazil,Unknown,Tiquindenada-JuninhoCamposftFelipeAarújo
2020,50,Brazil,Unknown,3batidas-GuilhermeeBenuto
2020,73,Brazil,Unknown,OBrasiltemquever-TurmadoPagodeftKevinho
2020,98,Brazil,Unknown,Casalraiz-XandAvião
2021,12,Brazil,sertanejo,Vocêbeberiaounãobeberia?-ZéNetoeCristiano
2021,14,Brazil,country,Dependencia-TheoeGabrielftJorge
2021,63,Colombia,reggaeton,Nolloresmas-SimoneeSimariaftSebastianYatra
2021,67,United States,alternative r&b,Leavethedooropen-BrunoMarsftAnderson.Paak
2021,87,Brazil,Unknown,Bastavocêmeligar-BarõesdaPisadinhaftXandAvião
2022,29,Brazil,sertanejo,Vontadedemorder-SimoneeSimariaftZéFelipe
2022,80,Brazil,Unknown,Umsonhador/Nãoprecisa/Nãoaprendidizeradeus-LauanaPrado
2023,16,Brazil,country,"EsseB.O.émeu-GuilhermeeBenuto,MatheuseKauan"
2023,33,Brazil,sertanejo,"Cadêseunamoradomoça?-ThalesLessa,BrunoeMarrone"
2023,54,Brazil,Unknown,Ninguempodesaber-MarcoseBelutti
2023,68,Příbram,punk,"Recaidacerta-WilliameBikido,ClaytoneRomário"
